latitude;longitude;type
19.0111111;-8.1111111;ARIDE
19.0111111;-8.0111111;ARIDE
19.0111111;-7.9111111;ARIDE
19.0111111;-7.8111111;ARIDE
19.0111111;-7.7111111;ARIDE
19.0111111;-7.6111111;ARIDE
19.0111111;-7.5111111;ARIDE
19.0111111;-7.4111111;ARIDE
19.0111111;-7.3111111;ARIDE
19.0111111;-7.2111111;ARIDE
19.0111111;-7.1111111;ARIDE
19.0111111;-7.0111111;SUB HUMIDE
19.0111111;-6.9111111;ARIDE
19.0111111;-6.8111111;ARIDE
19.0111111;-6.7111111;ARIDE
19.0111111;-6.6111111;ARIDE
19.0111111;-6.5111111;ARIDE
19.0111111;-6.4111111;ARIDE
19.0111111;-6.3111111;ARIDE
19.0111111;-6.2111111;ARIDE
19.0111111;-6.1111111;ARIDE
19.0111111;-6.0111111;ARIDE
19.0111111;-5.9111111;ARIDE
19.0111111;-5.8111111;ARIDE
19.0111111;-5.7111111;ARIDE
19.0111111;-5.6111111;ARIDE
19.0111111;-5.5111111;ARIDE
19.0111111;-5.4111111;ARIDE
19.0111111;-5.3111111;ARIDE
19.0111111;-5.2111111;HYPER ARIDE
19.0111111;-5.1111111;ARIDE
19.0111111;-5.0111111;ARIDE
19.0111111;-4.9111111;ARIDE
19.0111111;-4.8111111;HYPER ARIDE
19.0111111;-4.7111111;ARIDE
19.0111111;-4.6111111;HYPER ARIDE
19.0111111;-4.5111111;ARIDE
19.0111111;-4.4111111;ARIDE
19.0111111;-4.3111111;ARIDE
19.0111111;-4.2111111;ARIDE
19.0111111;-4.1111111;ARIDE
19.0111111;-4.0111111;ARIDE
19.0111111;-3.9111111;ARIDE
19.0111111;-3.8111111;ARIDE
19.0111111;-3.7111111;HYPER ARIDE
19.0111111;-3.6111111;ARIDE
19.0111111;-3.5111111;SUB HUMIDE
19.0111111;-3.4111111;SUB HUMIDE
19.0111111;-3.3111111;ARIDE
19.0111111;-3.2111111;HYPER ARIDE
19.0111111;-3.1111111;ARIDE
19.0111111;-3.0111111;ARIDE
19.0111111;-2.9111111;ARIDE
19.0111111;-2.8111111;SUB HUMIDE
19.0111111;-2.7111111;ARIDE
19.0111111;-2.6111111;ARIDE
19.0111111;-2.5111111;ARIDE
19.0111111;-2.4111111;ARIDE
19.0111111;-2.3111111;ARIDE
19.0111111;-2.2111111;ARIDE
19.0111111;-2.1111111;ARIDE
19.0111111;-2.0111111;ARIDE
19.0111111;-1.9111111;SUB HUMIDE
19.0111111;-1.8111111;ARIDE
19.0111111;-1.7111111;SUB HUMIDE
19.0111111;-1.6111111;ARIDE
19.0111111;-1.5111111;ARIDE
19.0111111;-1.4111111;SUB HUMIDE
19.0111111;-1.3111111;SUB HUMIDE
19.0111111;-1.2111111;ARIDE
19.0111111;-1.1111111;ARIDE
19.0111111;-1.0111111;ARIDE
19.0111111;-0.9111111;HYPER ARIDE
19.0111111;-0.8111111;HYPER ARIDE
19.0111111;-0.7111111;ARIDE
19.0111111;-0.6111111;SUB HUMIDE
19.0111111;-0.5111111;SUB HUMIDE
19.0111111;-0.4111111;SUB HUMIDE
19.0111111;-0.3111111;SUB HUMIDE
19.0111111;-0.2111111;SUB HUMIDE
19.0111111;-0.1111111;SUB HUMIDE
19.0111111;0.0111111;SUB HUMIDE
19.0111111;0.1111111;SUB HUMIDE
19.0111111;0.2111111;SUB HUMIDE
19.0111111;0.3111111;SUB HUMIDE
19.0111111;0.4111111;SUB HUMIDE
19.0111111;0.5111111;SUB HUMIDE
19.0111111;0.6111111;SUB HUMIDE
19.0111111;0.7111111;SUB HUMIDE
19.0111111;0.8111111;SUB HUMIDE
19.0111111;0.9111111;SUB HUMIDE
19.0111111;1.0111111;SUB HUMIDE
19.0111111;1.1111111;SUB HUMIDE
19.0111111;1.2111111;SUB HUMIDE
19.0111111;1.3111111;SUB HUMIDE
19.0111111;1.4111111;SUB HUMIDE
19.0111111;1.5111111;SUB HUMIDE
19.0111111;1.6111111;SUB HUMIDE
19.0111111;1.7111111;SUB HUMIDE
19.0111111;1.8111111;SUB HUMIDE
19.0111111;1.9111111;SUB HUMIDE
19.0111111;2.0111111;SUB HUMIDE
19.0111111;2.1111111;SUB HUMIDE
19.0111111;2.2111111;SUB HUMIDE
19.0111111;2.3111111;SUB HUMIDE
19.0111111;2.4111111;SUB HUMIDE
19.0111111;2.5111111;SUB HUMIDE
19.0111111;2.6111111;SUB HUMIDE
19.0111111;2.7111111;SUB HUMIDE
19.0111111;2.8111111;SUB HUMIDE
19.0111111;2.9111111;SUB HUMIDE
19.0111111;3.0111111;SUB HUMIDE
19.0111111;3.1111111;SUB HUMIDE
19.0111111;3.2111111;SUB HUMIDE
19.0111111;3.3111111;SUB HUMIDE
19.0111111;3.4111111;SUB HUMIDE
19.0111111;3.5111111;SUB HUMIDE
19.0111111;3.6111111;SUB HUMIDE
19.0111111;3.7111111;SUB HUMIDE
19.0111111;3.8111111;SUB HUMIDE
19.0111111;3.9111111;SUB HUMIDE
19.0111111;4.0111111;SUB HUMIDE
19.0111111;4.1111111;SUB HUMIDE
19.0111111;4.2111111;SUB HUMIDE
19.0111111;4.3111111;SUB HUMIDE
19.0111111;4.4111111;SUB HUMIDE
19.0111111;4.5111111;SUB HUMIDE
19.0111111;4.6111111;SUB HUMIDE
19.0111111;4.7111111;SUB HUMIDE
19.0111111;4.8111111;SUB HUMIDE
19.0111111;4.9111111;SUB HUMIDE
19.0111111;5.0111111;SUB HUMIDE
19.0111111;5.1111111;SUB HUMIDE
19.0111111;5.2111111;SUB HUMIDE
19.0111111;5.3111111;SUB HUMIDE
19.0111111;5.4111111;SUB HUMIDE
19.0111111;5.5111111;SUB HUMIDE
19.0111111;5.6111111;SUB HUMIDE
19.0111111;5.7111111;SUB HUMIDE
19.0111111;5.8111111;SUB HUMIDE
19.0111111;5.9111111;SUB HUMIDE
19.0111111;6.0111111;SUB HUMIDE
19.0111111;6.1111111;SUB HUMIDE
19.0111111;6.2111111;SUB HUMIDE
19.0111111;6.3111111;SUB HUMIDE
19.0111111;6.4111111;SUB HUMIDE
19.0111111;6.5111111;SUB HUMIDE
19.0111111;6.6111111;SUB HUMIDE
19.0111111;6.7111111;SUB HUMIDE
19.0111111;6.8111111;SUB HUMIDE
19.0111111;6.9111111;SUB HUMIDE
19.0111111;7.0111111;SUB HUMIDE
19.0111111;7.1111111;SUB HUMIDE
19.0111111;7.2111111;SUB HUMIDE
19.0111111;7.3111111;SUB HUMIDE
19.0111111;7.4111111;SUB HUMIDE
19.0111111;7.5111111;SUB HUMIDE
19.0111111;7.6111111;SUB HUMIDE
19.0111111;7.7111111;SUB HUMIDE
19.0111111;7.8111111;SUB HUMIDE
19.0111111;7.9111111;SUB HUMIDE
19.0111111;8.0111111;SUB HUMIDE
19.0111111;8.1111111;SUB HUMIDE
19.0111111;8.2111111;SUB HUMIDE
19.0111111;8.3111111;SUB HUMIDE
19.0111111;8.4111111;SUB HUMIDE
19.0111111;8.5111111;SUB HUMIDE
19.0111111;8.6111111;SUB HUMIDE
19.0111111;8.7111111;SUB HUMIDE
19.0111111;8.8111111;SUB HUMIDE
19.0111111;8.9111111;SUB HUMIDE
19.0111111;9.0111111;SUB HUMIDE
19.0111111;9.1111111;SUB HUMIDE
19.0111111;9.2111111;SUB HUMIDE
19.0111111;9.3111111;SUB HUMIDE
19.0111111;9.4111111;SUB HUMIDE
19.0111111;9.5111111;SUB HUMIDE
19.0111111;9.6111111;SUB HUMIDE
19.0111111;9.7111111;SUB HUMIDE
19.0111111;9.8111111;SUB HUMIDE
19.0111111;9.9111111;SUB HUMIDE
19.0111111;10.0111111;SUB HUMIDE
19.0111111;10.1111111;SUB HUMIDE
19.0111111;10.2111111;SUB HUMIDE
19.0111111;10.3111111;SUB HUMIDE
19.0111111;10.4111111;SUB HUMIDE
19.0111111;10.5111111;SUB HUMIDE
19.0111111;10.6111111;SUB HUMIDE
19.0111111;10.7111111;SUB HUMIDE
19.0111111;10.8111111;SUB HUMIDE
19.0111111;10.9111111;SUB HUMIDE
19.0111111;11.0111111;SUB HUMIDE
19.0111111;11.1111111;SUB HUMIDE
19.0111111;11.2111111;SUB HUMIDE
19.0111111;11.3111111;SUB HUMIDE
19.0111111;11.4111111;SUB HUMIDE
19.0111111;11.5111111;SUB HUMIDE
19.0111111;11.6111111;SUB HUMIDE
19.0111111;11.7111111;SUB HUMIDE
19.0111111;11.8111111;SUB HUMIDE
19.0111111;11.9111111;SUB HUMIDE
19.0111111;12.0111111;SUB HUMIDE
19.0111111;12.1111111;SUB HUMIDE
19.0111111;12.2111111;SUB HUMIDE
19.0111111;12.3111111;SUB HUMIDE
19.0111111;12.4111111;SUB HUMIDE
19.1111111;-8.1111111;HYPER ARIDE
19.1111111;-8.0111111;HYPER ARIDE
19.1111111;-7.9111111;HYPER ARIDE
19.1111111;-7.8111111;HYPER ARIDE
19.1111111;-7.7111111;HYPER ARIDE
19.1111111;-7.6111111;HYPER ARIDE
19.1111111;-7.5111111;HYPER ARIDE
19.1111111;-7.4111111;HYPER ARIDE
19.1111111;-7.3111111;HYPER ARIDE
19.1111111;-7.2111111;HYPER ARIDE
19.1111111;-7.1111111;HYPER ARIDE
19.1111111;-7.0111111;HYPER ARIDE
19.1111111;-6.9111111;HYPER ARIDE
19.1111111;-6.8111111;HYPER ARIDE
19.1111111;-6.7111111;HYPER ARIDE
19.1111111;-6.6111111;HYPER ARIDE
19.1111111;-6.5111111;HYPER ARIDE
19.1111111;-6.4111111;HYPER ARIDE
19.1111111;-6.3111111;HYPER ARIDE
19.1111111;-6.2111111;HYPER ARIDE
19.1111111;-6.1111111;HYPER ARIDE
19.1111111;-6.0111111;HYPER ARIDE
19.1111111;-5.9111111;ARIDE
19.1111111;-5.8111111;HYPER ARIDE
19.1111111;-5.7111111;SUB HUMIDE
19.1111111;-5.6111111;ARIDE
19.1111111;-5.5111111;HYPER ARIDE
19.1111111;-5.4111111;HYPER ARIDE
19.1111111;-5.3111111;HYPER ARIDE
19.1111111;-5.2111111;HYPER ARIDE
19.1111111;-5.1111111;HYPER ARIDE
19.1111111;-5.0111111;HYPER ARIDE
19.1111111;-4.9111111;HYPER ARIDE
19.1111111;-4.8111111;HYPER ARIDE
19.1111111;-4.7111111;HYPER ARIDE
19.1111111;-4.6111111;HYPER ARIDE
19.1111111;-4.5111111;HYPER ARIDE
19.1111111;-4.4111111;HYPER ARIDE
19.1111111;-4.3111111;HYPER ARIDE
19.1111111;-4.2111111;HYPER ARIDE
19.1111111;-4.1111111;HYPER ARIDE
19.1111111;-4.0111111;HYPER ARIDE
19.1111111;-3.9111111;HYPER ARIDE
19.1111111;-3.8111111;HYPER ARIDE
19.1111111;-3.7111111;HYPER ARIDE
19.1111111;-3.6111111;HYPER ARIDE
19.1111111;-3.5111111;HYPER ARIDE
19.1111111;-3.4111111;HYPER ARIDE
19.1111111;-3.3111111;HYPER ARIDE
19.1111111;-3.2111111;HYPER ARIDE
19.1111111;-3.1111111;HYPER ARIDE
19.1111111;-3.0111111;HYPER ARIDE
19.1111111;-2.9111111;HYPER ARIDE
19.1111111;-2.8111111;HYPER ARIDE
19.1111111;-2.7111111;HYPER ARIDE
19.1111111;-2.6111111;HYPER ARIDE
19.1111111;-2.5111111;HYPER ARIDE
19.1111111;-2.4111111;HYPER ARIDE
19.1111111;-2.3111111;HYPER ARIDE
19.1111111;-2.2111111;HYPER ARIDE
19.1111111;-2.1111111;HYPER ARIDE
19.1111111;-2.0111111;HYPER ARIDE
19.1111111;-1.9111111;HYPER ARIDE
19.1111111;-1.8111111;HYPER ARIDE
19.1111111;-1.7111111;HYPER ARIDE
19.1111111;-1.6111111;HYPER ARIDE
19.1111111;-1.5111111;HYPER ARIDE
19.1111111;-1.4111111;HYPER ARIDE
19.1111111;-1.3111111;HYPER ARIDE
19.1111111;-1.2111111;HYPER ARIDE
19.1111111;-1.1111111;HYPER ARIDE
19.1111111;-1.0111111;HYPER ARIDE
19.1111111;-0.9111111;HYPER ARIDE
19.1111111;-0.8111111;HYPER ARIDE
19.1111111;-0.7111111;HYPER ARIDE
19.1111111;-0.6111111;HYPER ARIDE
19.1111111;-0.5111111;HYPER ARIDE
19.1111111;-0.4111111;HYPER ARIDE
19.1111111;-0.3111111;HYPER ARIDE
19.1111111;-0.2111111;HYPER ARIDE
19.1111111;-0.1111111;HYPER ARIDE
19.1111111;0.0111111;HYPER ARIDE
19.1111111;0.1111111;HYPER ARIDE
19.1111111;0.2111111;HYPER ARIDE
19.1111111;0.3111111;HYPER ARIDE
19.1111111;0.4111111;HYPER ARIDE
19.1111111;0.5111111;HYPER ARIDE
19.1111111;0.6111111;HYPER ARIDE
19.1111111;0.7111111;HYPER ARIDE
19.1111111;0.8111111;HYPER ARIDE
19.1111111;0.9111111;HYPER ARIDE
19.1111111;1.0111111;HYPER ARIDE
19.1111111;1.1111111;HYPER ARIDE
19.1111111;1.2111111;HYPER ARIDE
19.1111111;1.3111111;HYPER ARIDE
19.1111111;1.4111111;HYPER ARIDE
19.1111111;1.5111111;HYPER ARIDE
19.1111111;1.6111111;HYPER ARIDE
19.1111111;1.7111111;HYPER ARIDE
19.1111111;1.8111111;HYPER ARIDE
19.1111111;1.9111111;HYPER ARIDE
19.1111111;2.0111111;HYPER ARIDE
19.1111111;2.1111111;HYPER ARIDE
19.1111111;2.2111111;HYPER ARIDE
19.1111111;2.3111111;HYPER ARIDE
19.1111111;2.4111111;HYPER ARIDE
19.1111111;2.5111111;HYPER ARIDE
19.1111111;2.6111111;HYPER ARIDE
19.1111111;2.7111111;HYPER ARIDE
19.1111111;2.8111111;HYPER ARIDE
19.1111111;2.9111111;HYPER ARIDE
19.1111111;3.0111111;HYPER ARIDE
19.1111111;3.1111111;HYPER ARIDE
19.1111111;3.2111111;HYPER ARIDE
19.1111111;3.3111111;HYPER ARIDE
19.1111111;3.4111111;SUB HUMIDE
19.1111111;3.5111111;ARIDE
19.1111111;3.6111111;HYPER ARIDE
19.1111111;3.7111111;HYPER ARIDE
19.1111111;3.8111111;HYPER ARIDE
19.1111111;3.9111111;HYPER ARIDE
19.1111111;4.0111111;HYPER ARIDE
19.1111111;4.1111111;HYPER ARIDE
19.1111111;4.2111111;HYPER ARIDE
19.1111111;4.3111111;ARIDE
19.1111111;4.4111111;ARIDE
19.1111111;4.5111111;HYPER ARIDE
19.1111111;4.6111111;HYPER ARIDE
19.1111111;4.7111111;HYPER ARIDE
19.1111111;4.8111111;HYPER ARIDE
19.1111111;4.9111111;HYPER ARIDE
19.1111111;5.0111111;HYPER ARIDE
19.1111111;5.1111111;HYPER ARIDE
19.1111111;5.2111111;HYPER ARIDE
19.1111111;5.3111111;HYPER ARIDE
19.1111111;5.4111111;HYPER ARIDE
19.1111111;5.5111111;HYPER ARIDE
19.1111111;5.6111111;HYPER ARIDE
19.1111111;5.7111111;HYPER ARIDE
19.1111111;5.8111111;HYPER ARIDE
19.1111111;5.9111111;HYPER ARIDE
19.1111111;6.0111111;HYPER ARIDE
19.1111111;6.1111111;HYPER ARIDE
19.1111111;6.2111111;HYPER ARIDE
19.1111111;6.3111111;HYPER ARIDE
19.1111111;6.4111111;HYPER ARIDE
19.1111111;6.5111111;HYPER ARIDE
19.1111111;6.6111111;HYPER ARIDE
19.1111111;6.7111111;HYPER ARIDE
19.1111111;6.8111111;HYPER ARIDE
19.1111111;6.9111111;HYPER ARIDE
19.1111111;7.0111111;HYPER ARIDE
19.1111111;7.1111111;HYPER ARIDE
19.1111111;7.2111111;HYPER ARIDE
19.1111111;7.3111111;HYPER ARIDE
19.1111111;7.4111111;HYPER ARIDE
19.1111111;7.5111111;HYPER ARIDE
19.1111111;7.6111111;HYPER ARIDE
19.1111111;7.7111111;HYPER ARIDE
19.1111111;7.8111111;HYPER ARIDE
19.1111111;7.9111111;HYPER ARIDE
19.1111111;8.0111111;HYPER ARIDE
19.1111111;8.1111111;HYPER ARIDE
19.1111111;8.2111111;HYPER ARIDE
19.1111111;8.3111111;HYPER ARIDE
19.1111111;8.4111111;HYPER ARIDE
19.1111111;8.5111111;HYPER ARIDE
19.1111111;8.6111111;HYPER ARIDE
19.1111111;8.7111111;HYPER ARIDE
19.1111111;8.8111111;HYPER ARIDE
19.1111111;8.9111111;HYPER ARIDE
19.1111111;9.0111111;HYPER ARIDE
19.1111111;9.1111111;HYPER ARIDE
19.1111111;9.2111111;HYPER ARIDE
19.1111111;9.3111111;HYPER ARIDE
19.1111111;9.4111111;HYPER ARIDE
19.1111111;9.5111111;HYPER ARIDE
19.1111111;9.6111111;HYPER ARIDE
19.1111111;9.7111111;HYPER ARIDE
19.1111111;9.8111111;HYPER ARIDE
19.1111111;9.9111111;HYPER ARIDE
19.1111111;10.0111111;HYPER ARIDE
19.1111111;10.1111111;HYPER ARIDE
19.1111111;10.2111111;HYPER ARIDE
19.1111111;10.3111111;HYPER ARIDE
19.1111111;10.4111111;HYPER ARIDE
19.1111111;10.5111111;HYPER ARIDE
19.1111111;10.6111111;HYPER ARIDE
19.1111111;10.7111111;HYPER ARIDE
19.1111111;10.8111111;HYPER ARIDE
19.1111111;10.9111111;HYPER ARIDE
19.1111111;11.0111111;HYPER ARIDE
19.1111111;11.1111111;HYPER ARIDE
19.1111111;11.2111111;HYPER ARIDE
19.1111111;11.3111111;HYPER ARIDE
19.1111111;11.4111111;HYPER ARIDE
19.1111111;11.5111111;HYPER ARIDE
19.1111111;11.6111111;HYPER ARIDE
19.1111111;11.7111111;HYPER ARIDE
19.1111111;11.8111111;HYPER ARIDE
19.1111111;11.9111111;HYPER ARIDE
19.1111111;12.0111111;HYPER ARIDE
19.1111111;12.1111111;HYPER ARIDE
19.1111111;12.2111111;HYPER ARIDE
19.1111111;12.3111111;HYPER ARIDE
19.1111111;12.4111111;HYPER ARIDE
19.2111111;-8.1111111;HYPER ARIDE
19.2111111;-8.0111111;HYPER ARIDE
19.2111111;-7.9111111;HYPER ARIDE
19.2111111;-7.8111111;HYPER ARIDE
19.2111111;-7.7111111;HYPER ARIDE
19.2111111;-7.6111111;HYPER ARIDE
19.2111111;-7.5111111;HYPER ARIDE
19.2111111;-7.4111111;HYPER ARIDE
19.2111111;-7.3111111;HYPER ARIDE
19.2111111;-7.2111111;HYPER ARIDE
19.2111111;-7.1111111;HYPER ARIDE
19.2111111;-7.0111111;HYPER ARIDE
19.2111111;-6.9111111;HYPER ARIDE
19.2111111;-6.8111111;HYPER ARIDE
19.2111111;-6.7111111;HYPER ARIDE
19.2111111;-6.6111111;HYPER ARIDE
19.2111111;-6.5111111;HYPER ARIDE
19.2111111;-6.4111111;HYPER ARIDE
19.2111111;-6.3111111;HYPER ARIDE
19.2111111;-6.2111111;HYPER ARIDE
19.2111111;-6.1111111;HYPER ARIDE
19.2111111;-6.0111111;HYPER ARIDE
19.2111111;-5.9111111;HYPER ARIDE
19.2111111;-5.8111111;HYPER ARIDE
19.2111111;-5.7111111;SUB HUMIDE
19.2111111;-5.6111111;ARIDE
19.2111111;-5.5111111;HYPER ARIDE
19.2111111;-5.4111111;HYPER ARIDE
19.2111111;-5.3111111;HYPER ARIDE
19.2111111;-5.2111111;HYPER ARIDE
19.2111111;-5.1111111;HYPER ARIDE
19.2111111;-5.0111111;HYPER ARIDE
19.2111111;-4.9111111;HYPER ARIDE
19.2111111;-4.8111111;HYPER ARIDE
19.2111111;-4.7111111;HYPER ARIDE
19.2111111;-4.6111111;HYPER ARIDE
19.2111111;-4.5111111;HYPER ARIDE
19.2111111;-4.4111111;HYPER ARIDE
19.2111111;-4.3111111;HYPER ARIDE
19.2111111;-4.2111111;HYPER ARIDE
19.2111111;-4.1111111;HYPER ARIDE
19.2111111;-4.0111111;HYPER ARIDE
19.2111111;-3.9111111;HYPER ARIDE
19.2111111;-3.8111111;HYPER ARIDE
19.2111111;-3.7111111;HYPER ARIDE
19.2111111;-3.6111111;HYPER ARIDE
19.2111111;-3.5111111;HYPER ARIDE
19.2111111;-3.4111111;HYPER ARIDE
19.2111111;-3.3111111;HYPER ARIDE
19.2111111;-3.2111111;HYPER ARIDE
19.2111111;-3.1111111;HYPER ARIDE
19.2111111;-3.0111111;HYPER ARIDE
19.2111111;-2.9111111;HYPER ARIDE
19.2111111;-2.8111111;HYPER ARIDE
19.2111111;-2.7111111;HYPER ARIDE
19.2111111;-2.6111111;HYPER ARIDE
19.2111111;-2.5111111;HYPER ARIDE
19.2111111;-2.4111111;HYPER ARIDE
19.2111111;-2.3111111;HYPER ARIDE
19.2111111;-2.2111111;HYPER ARIDE
19.2111111;-2.1111111;HYPER ARIDE
19.2111111;-2.0111111;HYPER ARIDE
19.2111111;-1.9111111;HYPER ARIDE
19.2111111;-1.8111111;HYPER ARIDE
19.2111111;-1.7111111;HYPER ARIDE
19.2111111;-1.6111111;HYPER ARIDE
19.2111111;-1.5111111;HYPER ARIDE
19.2111111;-1.4111111;HYPER ARIDE
19.2111111;-1.3111111;HYPER ARIDE
19.2111111;-1.2111111;HYPER ARIDE
19.2111111;-1.1111111;HYPER ARIDE
19.2111111;-1.0111111;HYPER ARIDE
19.2111111;-0.9111111;HYPER ARIDE
19.2111111;-0.8111111;HYPER ARIDE
19.2111111;-0.7111111;HYPER ARIDE
19.2111111;-0.6111111;HYPER ARIDE
19.2111111;-0.5111111;HYPER ARIDE
19.2111111;-0.4111111;HYPER ARIDE
19.2111111;-0.3111111;HYPER ARIDE
19.2111111;-0.2111111;HYPER ARIDE
19.2111111;-0.1111111;HYPER ARIDE
19.2111111;0.0111111;HYPER ARIDE
19.2111111;0.1111111;HYPER ARIDE
19.2111111;0.2111111;HYPER ARIDE
19.2111111;0.3111111;HYPER ARIDE
19.2111111;0.4111111;HYPER ARIDE
19.2111111;0.5111111;HYPER ARIDE
19.2111111;0.6111111;HYPER ARIDE
19.2111111;0.7111111;HYPER ARIDE
19.2111111;0.8111111;HYPER ARIDE
19.2111111;0.9111111;HYPER ARIDE
19.2111111;1.0111111;HYPER ARIDE
19.2111111;1.1111111;HYPER ARIDE
19.2111111;1.2111111;HYPER ARIDE
19.2111111;1.3111111;HYPER ARIDE
19.2111111;1.4111111;HYPER ARIDE
19.2111111;1.5111111;HYPER ARIDE
19.2111111;1.6111111;HYPER ARIDE
19.2111111;1.7111111;HYPER ARIDE
19.2111111;1.8111111;HYPER ARIDE
19.2111111;1.9111111;HYPER ARIDE
19.2111111;2.0111111;HYPER ARIDE
19.2111111;2.1111111;HYPER ARIDE
19.2111111;2.2111111;HYPER ARIDE
19.2111111;2.3111111;HYPER ARIDE
19.2111111;2.4111111;HYPER ARIDE
19.2111111;2.5111111;HYPER ARIDE
19.2111111;2.6111111;HYPER ARIDE
19.2111111;2.7111111;HYPER ARIDE
19.2111111;2.8111111;HYPER ARIDE
19.2111111;2.9111111;HYPER ARIDE
19.2111111;3.0111111;HYPER ARIDE
19.2111111;3.1111111;ARIDE
19.2111111;3.2111111;SUB HUMIDE
19.2111111;3.3111111;HUMIDE
19.2111111;3.4111111;HUMIDE
19.2111111;3.5111111;HUMIDE
19.2111111;3.6111111;HUMIDE
19.2111111;3.7111111;HUMIDE
19.2111111;3.8111111;HUMIDE
19.2111111;3.9111111;HUMIDE
19.2111111;4.0111111;SUB HUMIDE
19.2111111;4.1111111;SUB HUMIDE
19.2111111;4.2111111;SUB HUMIDE
19.2111111;4.3111111;SUB HUMIDE
19.2111111;4.4111111;SUB HUMIDE
19.2111111;4.5111111;HYPER ARIDE
19.2111111;4.6111111;HYPER ARIDE
19.2111111;4.7111111;HYPER ARIDE
19.2111111;4.8111111;HYPER ARIDE
19.2111111;4.9111111;HYPER ARIDE
19.2111111;5.0111111;HYPER ARIDE
19.2111111;5.1111111;HYPER ARIDE
19.2111111;5.2111111;HYPER ARIDE
19.2111111;5.3111111;HYPER ARIDE
19.2111111;5.4111111;HYPER ARIDE
19.2111111;5.5111111;HYPER ARIDE
19.2111111;5.6111111;HYPER ARIDE
19.2111111;5.7111111;HYPER ARIDE
19.2111111;5.8111111;HYPER ARIDE
19.2111111;5.9111111;HYPER ARIDE
19.2111111;6.0111111;HYPER ARIDE
19.2111111;6.1111111;HYPER ARIDE
19.2111111;6.2111111;HYPER ARIDE
19.2111111;6.3111111;HYPER ARIDE
19.2111111;6.4111111;HYPER ARIDE
19.2111111;6.5111111;HYPER ARIDE
19.2111111;6.6111111;HYPER ARIDE
19.2111111;6.7111111;HYPER ARIDE
19.2111111;6.8111111;HYPER ARIDE
19.2111111;6.9111111;HYPER ARIDE
19.2111111;7.0111111;HYPER ARIDE
19.2111111;7.1111111;HYPER ARIDE
19.2111111;7.2111111;HYPER ARIDE
19.2111111;7.3111111;HYPER ARIDE
19.2111111;7.4111111;HYPER ARIDE
19.2111111;7.5111111;HYPER ARIDE
19.2111111;7.6111111;HYPER ARIDE
19.2111111;7.7111111;HYPER ARIDE
19.2111111;7.8111111;HYPER ARIDE
19.2111111;7.9111111;HYPER ARIDE
19.2111111;8.0111111;HYPER ARIDE
19.2111111;8.1111111;HYPER ARIDE
19.2111111;8.2111111;HYPER ARIDE
19.2111111;8.3111111;HYPER ARIDE
19.2111111;8.4111111;HYPER ARIDE
19.2111111;8.5111111;HYPER ARIDE
19.2111111;8.6111111;HYPER ARIDE
19.2111111;8.7111111;HYPER ARIDE
19.2111111;8.8111111;HYPER ARIDE
19.2111111;8.9111111;HYPER ARIDE
19.2111111;9.0111111;HYPER ARIDE
19.2111111;9.1111111;HYPER ARIDE
19.2111111;9.2111111;HYPER ARIDE
19.2111111;9.3111111;HYPER ARIDE
19.2111111;9.4111111;HYPER ARIDE
19.2111111;9.5111111;HYPER ARIDE
19.2111111;9.6111111;HYPER ARIDE
19.2111111;9.7111111;HYPER ARIDE
19.2111111;9.8111111;HYPER ARIDE
19.2111111;9.9111111;HYPER ARIDE
19.2111111;10.0111111;HYPER ARIDE
19.2111111;10.1111111;HYPER ARIDE
19.2111111;10.2111111;HYPER ARIDE
19.2111111;10.3111111;HYPER ARIDE
19.2111111;10.4111111;HYPER ARIDE
19.2111111;10.5111111;HYPER ARIDE
19.2111111;10.6111111;HYPER ARIDE
19.2111111;10.7111111;HYPER ARIDE
19.2111111;10.8111111;HYPER ARIDE
19.2111111;10.9111111;HYPER ARIDE
19.2111111;11.0111111;HYPER ARIDE
19.2111111;11.1111111;HYPER ARIDE
19.2111111;11.2111111;HYPER ARIDE
19.2111111;11.3111111;HYPER ARIDE
19.2111111;11.4111111;HYPER ARIDE
19.2111111;11.5111111;HYPER ARIDE
19.2111111;11.6111111;HYPER ARIDE
19.2111111;11.7111111;HYPER ARIDE
19.2111111;11.8111111;HYPER ARIDE
19.2111111;11.9111111;HYPER ARIDE
19.2111111;12.0111111;HYPER ARIDE
19.2111111;12.1111111;HYPER ARIDE
19.2111111;12.2111111;HYPER ARIDE
19.2111111;12.3111111;HYPER ARIDE
19.2111111;12.4111111;HYPER ARIDE
19.3111111;-8.1111111;HYPER ARIDE
19.3111111;-8.0111111;HYPER ARIDE
19.3111111;-7.9111111;HYPER ARIDE
19.3111111;-7.8111111;HYPER ARIDE
19.3111111;-7.7111111;HYPER ARIDE
19.3111111;-7.6111111;HYPER ARIDE
19.3111111;-7.5111111;HYPER ARIDE
19.3111111;-7.4111111;HYPER ARIDE
19.3111111;-7.3111111;HYPER ARIDE
19.3111111;-7.2111111;HYPER ARIDE
19.3111111;-7.1111111;HYPER ARIDE
19.3111111;-7.0111111;HYPER ARIDE
19.3111111;-6.9111111;HYPER ARIDE
19.3111111;-6.8111111;HYPER ARIDE
19.3111111;-6.7111111;HYPER ARIDE
19.3111111;-6.6111111;HYPER ARIDE
19.3111111;-6.5111111;HYPER ARIDE
19.3111111;-6.4111111;HYPER ARIDE
19.3111111;-6.3111111;HYPER ARIDE
